Date : 2025-04-17 16:55:45
Directory : c:\Users\mohamed\Desktop\Mohamed ben rabie\nextconsult
Total : 76 files,  3828 codes, 321 comments, 583 blanks, all 4732 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         25 |      1,906 |         35 |        222 |      2,163 |
| C++        |         16 |        564 |        131 |        189 |        884 |
| XML        |         10 |        483 |         54 |         18 |        555 |
| CMake      |          8 |        468 |          0 |         92 |        560 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Swift      |          6 |         73 |          7 |         21 |        101 |
| YAML       |          2 |         46 |         79 |         21 |        146 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |         76 |      3,828 |        321 |        583 |      4,732 |
| . (Files)                                                                                                            |          3 |         56 |         79 |         28 |        163 |
| android                                                                                                              |          9 |         87 |         52 |         17 |        156 |
| android (Files)                                                                                                      |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                                                          |          7 |         79 |         52 |         15 |        146 |
| android\app\src                                                                                                      |          7 |         79 |         52 |         15 |        146 |
| android\app\src\debug                                                                                                |          1 |         15 |          5 |          8 |         28 |
| android\app\src\main                                                                                                 |          5 |         61 |         43 |          6 |        110 |
| android\app\src\main (Files)                                                                                         |          1 |         35 |         11 |          0 |         46 |
| android\app\src\main\res                                                                                             |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                      |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                              |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                               |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                  |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                   |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                      |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                        |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                      |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                  |         25 |      1,906 |         35 |        222 |      2,163 |
| lib (Files)                                                                                                          |          1 |         43 |          1 |         11 |         55 |
| lib\Controllers                                                                                                      |          1 |        255 |         12 |         38 |        305 |
| lib\Helpers                                                                                                          |          9 |        303 |          7 |         49 |        359 |
| lib\Models                                                                                                           |          1 |         53 |          2 |          6 |         61 |
| lib\Services                                                                                                         |          3 |        117 |          0 |         15 |        132 |
| lib\Views                                                                                                            |          4 |        777 |         12 |         70 |        859 |
| lib\Widgets                                                                                                          |          6 |        358 |          1 |         33 |        392 |
| linux                                                                                                                |          9 |        340 |         37 |         92 |        469 |
| linux (Files)                                                                                                        |          1 |        104 |          0 |         25 |        129 |
| linux\flutter                                                                                                        |          4 |        120 |          9 |         27 |        156 |
| linux\runner                                                                                                         |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                                |          6 |        465 |          5 |         17 |        487 |
| macos\Flutter                                                                                                        |          1 |         24 |          3 |          4 |         31 |
